UniqueCount	AmbigCount
732	60696
15132	10743
31849	63427
31	0
532	0
584	6070
0	6070
58950	0
0	1218
13	1160
0	1165
0	1221
0	1158
0	1165
0	1168
0	1105
0	1112
0	1193
0	1140
0	1196
0	1143
0	1138
0	1085
0	1145
0	1092
117	1036
0	1036
5	0
52559	2
3055	0
161	0
71	0
16	19628
12299	19629
68	1
6212	0
51	0
119	251
0	251
1097	5259
155	5259
7	0
1727	0
9	0
4833	363964
2933	9569
0	9569
247	1
23	0
46	0
74	0
99	0
0	71
1	72
12986	7388
286	1
232	0
58	290
0	290
0	286
6389	0
135	0
28	0
8	1
0	1
0	1
18	0
25	0
16	0
30	0
1008	0
1984	2
36	2
26021	161761
977	1188
845	11349
79741	11565
12	0
5684	0
622	0
81	0
23	0
604	0
1163	1258
2354	1232
53	0
154	22
21	0
2671	2992
9423	107859
225	108164
0	108164
140	19
8	19
23	0
8	0
8542	0
17376	189719
2	189719
0	189719
6284	151412
0	151412
12326	79695
6553	16505
3019	72009
28	1
62	162
0	162
2	127
108	0
284	0
19	0
26220	0
952	0
29	3
7	3
231	95
3	19
0	19
1036	0
4	0
0	67
2	67
0	67
1	0
46	319
0	319
149	0
3806	0
319	1662
289	1662
125	1902
0	1902
0	759
0	1147
882	0
1763	0
3356	0
6005	0
92	4146
31	3651
86	4355
0	4355
0	3559
14	0
11	0
132	0
0	1558
3	1558
65	2104
0	2104
1282	0
3233	30368
0	25827
1	24544
179	3635
176	3630
0	3538
17	193
0	193
0	71
15883	0
2095	0
9481	0
3	0
2362	0
20243	0
14147	0
669	8173
1	8008
2	7522
2177	0
1132	5877
1	5680
0	4577
0	4390
18944	0
1032	0
358	9174
156	7707
427	8888
1329	9001
17	8963
121	5648
1512	7576
60	1887
0	1887
1881	11
5518	0
581	0
927	0
28	1061
0	1034
3	1112
16	1085
0	11488
22	10922
0	11080
0	11480
0	11274
3936	150500
0	150500
1067	0
963	0
0	3635
0	3428
0	3641
103	3710
3248	0
200	4654
0	4654
2369	0
3216	0
1741	0
277	2753
11	2753
27	24
0	24
0	11
0	239
0	166
0	239
0	3
7	3
24290	0
45630	0
68	36657
0	34939
66	36355
0	34637
1	9773
34	9643
861	8442
7	10852
0	10339
70488	0
1441	9784
0	9784
1501	0
5808	0
0	9055
0	9055
0	8829
137	8829
0	7678
0	7452
1	5789
150	5872
0	5789
147	5215
0	1608
0	640
4285	0
6325	0
143	1102
16	1102
270	4894
8	4894
990	0
0	1943
0	1906
0	1806
0	1769
25	1700
0	1938
0	1901
0	1768
0	1731
2	0
10	254
0	254
56	2175
0	2180
0	2089
1729	4243
28	4243
1306	0
7	0
14	0
13	0
765	0
1227	0
16	1
65	965
0	917
0	929
0	965
35	2
0	31
0	31
120	2987
0	2986
5	2799
25228	0
72	834
0	834
71	466
26	466
1	6616
304	6616
397	8595
6	8595
53	4003
1	4003
160	5233
0	5233
252	4336
7638	0
69	0
18894	20
3198	0
0	27273
47	27273
326	3080
3	3080
3079	41396
0	41396
5	1876
0	2120
9	2055
82	0
35	281
95	283
1018	0
445	488
0	488
176	3228
0	3228
10	883
0	1941
0	1968
0	1578
88	3005
0	3005
2341	0
4	209
20	209
0	9865
0	9570
0	9149
0	8854
357	8448
0	9054
0	8759
15	200
5	200
3139	0
435	5004
5	5004
0	32718
0	32461
286	30776
0	32416
0	32145
0	30268
0	29553
0	14179
0	8796
0	8599
35	8052
85	8078
0	8353
0	8091
0	8382
0	7787
0	7776
0	8022
0	3250
478	10966
0	10966
0	6421
21	7799
53	6151
34	10125
12407	0
911	0
1549	0
3463	0
2	100
1	100
1076	0
0	763
0	636
1	674
0	4528
0	3761
100	4313
43	3761
0	4662
205	4662
0	17899
0	17517
0	17899
0	17493
0	17111
532	3524
0	6083
0	5600
0	6155
0	5679
19	4917
0	3700
0	5106
33	3020
5	4741
0	4759
0	4682
0	4011
0	4200
3632	0
385	3446
48	3469
112	2776
0	2958
0	2935
676	219049
0	216589
4267	219080
0	216536
2353	0
94	0
1761	0
531	3426
0	3426
3076	0
5	0
0	22719
0	22719
0	14639
0	14639
240	0
4225	0
1433	0
178	0
269	1386
0	1386
1505	0
601	9836
0	9759
0	9862
150	10195
4	10195
1039	246
0	246
3432	0
0	53301
0	14727
0	50763
0	50594
0	48046
0	12177
0	8678
0	11226
0	1273
13	1273
0	1255
7	1017
0	1017
507	0
18	307
0	307
168	1452
69	1452
43	8545
55	8560
0	6833
1	6848
66	7740
809	5213
0	2028
2	1341
0	5235
2	4544
0	4548
698	0
441	3396
0	3396
203	117405
0	117408
0	97601
3	3330
89	3330
0	3320
4897	0
1911	0
3	4081
0	1841
28	4081
59	3994
347	6522
0	6522
12	5037
42	3466
539	0
9240	0
27695	0
465	0
6	4580
0	3407
0	3402
0	4574
35468	0
11	38
0	38
0	38
0	38
2532	0
2735	236
3712	0
196	0
286	0
0	2643
0	2643
444	20507
0	20507
35514	0
11824	0
2492	0
277	5764
6	5764
155	5161
0	5161
313	3381
0	3381
4598	0
44	0
2207	0
57385	0
1819	0
11640	0
98	1698
4	1698
35	2252
0	2241
0	2110
3	2092
1885	20357
0	19616
0	20357
1312	457749
3	457749
112	424812
1972	32601
1	32601
119	6579
2	6579
2298	0
1910	9108
0	8644
0	9108
23750	14489
0	14489
116	14462
1	4759
0	4569
0	5425
0	5235
0	26069
0	26016
76	14993
0	24955
0	24902
1335	0
272	13914
94	14050
0	11245
273	13796
27	13606
0	3049
19	3049
149	4822
1	4822
0	1128
1842	36
203	0
34	522
0	522
0	8905
0	8755
0	7806
0	7656
0	9126
0	8976
0	7772
0	7622
7344	0
634	6482
0	6482
3334	0
218	2675
221	2675
2886	0
647	18786
0	18706
347	10151
0	10151
350	1939
636	1939
464	427
0	427
68	4628
0	4544
21	4628
1501	0
54	624
0	624
481	21414
0	21414
2539	6655
325	6655
725	0
572	0
2547	0
2166	0
76	5227
0	5227
0	3362
10	4633
0	3096
46	0
2157	1569
0	1569
654	0
0	11071
15	10686
0	15106
0	14721
715	570
0	570
1287	0
90	1053
0	1053
1432	0
478	1804
0	1913
79	1698
19	1320
1	1555
105	1555
9	1355
0	2230
55	2191
0	2061
37	2981
3	2981
8	8048
513	8048
237	3934
1	3934
0	9379
0	9658
0	8748
0	9027
0	129
0	129
0	93
0	93
0	117
0	1957
0	1957
2	645
0	1543
3	1543
29	0
10	88
1	89
0	87
2072	0
1743	0
240	0
212	0
13608	0
2208	0
1476	0
1378	876
0	876
0	2158
0	2217
0	1950
464	5854
10	5854
257	0
1355	0
1473	0
8990	0
1787	0
312	0
16077	4994
29	4994
24888	0
248	4547
283	4547
8327	0
16514	0
17733	0
0	4601
1	4601
0	10512
331	10512
475	1656
0	1656
467	0
0	6941
0	6286
0	6932
0	7454
0	6799
0	7445
306	16073
0	16073
1148	0
153	0
10146	0
78	6375
0	8108
0	5353
0	4423
0	7086
0	5432
2159	0
13	0
39	0
0	52
0	48
0	52
9	0
167	0
20	0
336	0
421	0
289	1790
2	1790
0	1409
0	11061
15	5069
20	10389
711	6400
0	6256
0	6249
0	4482
6	7208
79	6853
8	6825
0	9775
0	2082
118	1461
1	1755
0	2771
48	4715
0	3828
61	3191
0	6274
547	2441
0	2441
0	73
239	4764
59	5375
0	5375
80	914
19	914
0	853
1346	1218
4	1218
0	1043
0	477
46	574
0	574
5	483
108	483
113	1310
10	304
0	1006
35	910
363	0
955	0
30	496
3	496
984	10900
452	10900
0	48653
36	3259
0	46175
0	43646
0	21875
0	3060
0	2316
0	2529
0	48170
0	45692
0	43163
66	6226
633	6829
6	6037
1162	7264
40	6928
652	0
8670	0
711	5581
0	5581
0	183
3	183
0	195972
3707	195972
0	8218
0	8093
0	7524
0	7399
0	57
41	628
77	1775
0	1790
0	1453
32856	0
3186	0
63	1250
18	1251
7	1019
23	969
265	1794
0	1794
681	15646
0	15646
3366	0
1098	21119
0	21119
1384	0
7727	0
1361	0
74	2562
31	2309
1	1946
609	10103
308	10103
1073	0
0	1018
53	888
49	918
469	1187
2905	0
25	0
1116	0
285	15314
0	15314
0	659571
0	659591
0	659572
16	637960
4	634877
0	637979
0	637960
0	639220
7	764748
0	764490
0	764748
0	75085
0	77949
0	75089
0	79325
2971	10729
0	10729
3	63969
0	61692
0	64556
0	61696
0	65932
15	0
433	4067
0	4220
98	4084
2518	37229
11	31606
1	37094
0	37175
0	30041
0	31043
0	27602
0	28604
218	28823
0	27821
0	28823
62	3470
0	27635
0	28637
0	16715
0	17717
0	25484
0	18431
0	19433
0	27919
0	28921
532	1087
27	1239
138	974
49	353
36	353
0	36650
0	36037
102	13491
0	36545
0	37157
0	35814
0	36426
0	35298
0	35911
0	34023
0	34635
0	33427
0	34040
0	35834
0	36446
0	35326
0	35939
0	35103
0	35715
0	34587
0	35200
0	33312
0	33924
0	32716
0	33329
0	10114
0	9726
0	5866
0	8901
157	5594
0	9381
0	8993
0	8789
283	7385
56	7379
1538	7297
67	1323
3	1323
0	1091
0	1220
25	888
0	1116
0	903
22	920
27	857
0	6472
0	6664
0	6642
0	6654
0	6854
0	6885
0	5365
