UniqueCount	AmbigCount
139	0
20219	6
36	0
35	15
146	0
7	1
3	13
0	13
98	0
1	42
11	42
571	0
5181	0
1829	0
947	52507
11313	9205
27539	54711
87	0
1432	0
106	1165
0	1165
115761	0
0	1114
4	1060
0	1068
0	1098
0	1063
0	1049
0	1052
0	1017
0	1003
0	1095
0	1049
0	1079
0	1033
0	1044
0	998
0	1030
0	984
124	1198
0	1198
3	0
112260	4
729	0
148	0
227	0
24	30221
21208	30222
53	1
1650	0
124	0
414	838
0	838
391	1819
80	1819
12	0
320	0
29	0
5466	395067
3710	12242
1	12242
363	1
33	0
40	0
76	0
105	0
0	72
4	72
6251	8193
137	2
1740	0
60	347
0	347
0	345
2310	0
3341	0
9	0
24	1
0	3
0	3
14	0
14	0
22	0
70	0
1453	0
3901	0
83	0
22081	134106
380	971
492	9311
63517	9448
10	0
9880	0
683	0
60	0
90	0
3646	0
1014	1080
1885	1055
33	0
58	23
17	0
1922	2744
8621	103680
153	104025
0	104025
268	26
15	26
30	0
10	0
1064	0
16289	191400
0	191400
0	191400
5917	145730
0	145730
12624	77364
5706	16371
2209	69892
47	0
823	2001
4	2001
3	1687
796	0
141	0
24	0
34947	0
653	0
36	5
3	5
192	77
6	82
0	82
267	0
9	0
0	262
11	262
0	262
3	1
33	230
0	230
187	0
5378	0
291	1627
216	1627
235	2447
0	2447
0	906
0	1378
995	0
1715	0
4139	0
5707	0
107	5472
19	4717
129	5762
0	5762
0	4569
10	0
20	0
129	0
0	1691
4	1691
99	2634
0	2634
2105	0
5678	52541
1	44836
2	42044
223	5252
258	5242
0	5094
56	569
0	569
0	234
23663	0
2353	0
17284	0
12	0
3210	0
31319	0
10557	0
1248	15347
3	15103
4	14140
3636	0
2751	13957
1	13496
0	11016
0	10589
31321	0
1263	0
457	10675
178	8977
633	10399
1458	10519
30	10464
170	6626
1917	8775
83	2327
0	2327
2409	19
7612	0
732	0
1103	0
39	1572
0	1531
2	1727
26	1686
0	16233
41	15378
0	15673
0	16218
0	15942
5493	208121
0	208121
1517	0
1103	0
0	4795
0	4519
0	4818
135	4884
4460	0
316	6717
0	6717
5545	0
4895	0
2380	0
355	3580
20	3580
67	61
0	61
1	34
1	349
0	205
0	349
0	2
2	2
30541	0
64519	0
127	61051
0	57991
126	66129
0	63069
4	13364
33	13182
1329	11606
4	14554
0	13825
105083	0
1639	11222
0	11222
1746	0
6979	0
0	11546
0	11546
0	11226
161	11226
0	9910
0	9590
3	7491
150	7605
0	7491
251	6697
0	2026
0	800
6424	0
8429	0
253	1760
18	1760
308	6313
10	6313
1019	0
0	2776
0	2720
0	2604
0	2548
47	2395
0	2737
0	2681
0	2518
0	2462
1	0
20	404
0	404
80	3312
0	3329
0	3181
2273	5602
54	5602
1409	0
8	0
28	0
36	0
821	0
1583	0
24	7
81	1181
0	1141
0	1144
0	1181
53	1
5	57
0	57
164	3197
0	3196
7	3009
30015	0
73	1183
0	1183
64	672
47	672
8	8172
443	8172
541	12017
10	12017
72	4552
3	4552
238	7297
0	7297
360	6090
7911	0
84	0
23823	24
4631	0
0	44624
102	44624
575	5845
9	5845
4361	52526
0	52526
7	2285
0	2594
5	2477
129	0
64	387
161	387
1300	0
558	603
0	603
264	4606
0	4606
27	1206
0	2624
0	2658
0	2182
109	3881
